timestep,reward
2,1.948
289,2.287
610,1.72
919,3.616
1218,5.116
1521,3.617
1817,2.916
2106,1.04
2384,-0.49
2659,3.798
2938,-1.686
3257,-0.808
3567,6.464
3889,5.745
4207,2.424
4494,4.232
4780,6.476
5082,1.883
5377,1.664
5662,4.64
6007,3.446
6300,3.433
6584,3.494
6867,4.246
7149,6.05
7424,3.601
7737,3.213
8000,6.364
8346,2.731
8635,5.403
9019,9.404
9313,9.867
9609,2.264
9922,4.053
10197,4.285
10510,4.34
10802,6.665
11125,7.003
11431,7.037
11712,5.228
12028,6.505
12332,6.832
12642,1.975
12951,5.812
13264,6.121
13594,4.68
13874,4.415
14202,8.335
14510,2.567
14781,6.036
15092,2.595
15398,3.69
15721,4.344
16071,5.334
16407,5.919
16749,1.73
17067,4.252
17379,3.829
17694,3.422
18009,5.999
18296,6.413
18643,4.632
18958,3.571
19281,5.962
19571,2.675
19898,6.813
20208,4.86
20548,7.756
20884,4.268
21192,1.929
21548,3.358
21871,5.855
22273,6.551
22578,5.796
22892,1.881
23240,5.908
23577,3.299
23891,6.432
24233,7.378
24567,6.113
24896,4.975
25226,7.015
25552,6.169
25873,3.513
26231,5.787
26603,4.224
26926,4.671
27263,5.661
27603,6.145
27946,6.097
28280,3.078
28635,6.092
28931,5.862
29294,6.438
29619,6.041
29955,7.286
30334,8.443
30713,4.147
31091,8.417
31435,2.343
31773,4.475
32139,4.3
32454,9.288
32787,6.162
33103,7.83
33455,7.315
33807,8.169
34164,5.703
34524,2.403
34865,4.97
35196,4.128
35508,5.682
35861,6.909
36196,7.247
36530,3.836
36888,6.718
37264,8.583
37634,6.799
37985,7.888
38354,8.283
38751,6.478
39113,6.097
39464,4.934
39834,5.605
40217,1.528
40605,8.717
40986,5.425
41345,7.205
41683,4.684
42048,3.566
42398,7.347
42771,6.03
43149,6.745
43485,3.687
43862,6.239
44272,7.622
44625,7.767
45001,9.229
45372,5.5
45764,7.499
46115,10.855
46458,6.975
46821,7.947
47204,3.325
47571,4.829
47936,7.418
48331,10.532
48704,8.171
49090,7.921
49477,7.154
49882,8.564
50240,6.724
50637,9.37
51021,8.825
51399,7.073
51769,5.484
52158,4.802
52548,5.908
52953,7.125
53379,11.057
53763,9.907
54160,6.823
54569,7.586
54947,8.083
55330,4.692
55737,7.322
56139,7.64
56568,8.509
56976,8.956
57422,5.492
57791,6.785
58216,7.357
58609,8.308
59043,10.044
59406,4.791
59768,8.14
60176,6.513
60588,8.598
61014,6.531
61385,9.057
61768,4.377
62170,6.336
62553,7.067
63022,7.525
63420,7.395
63827,7.264
64273,5.863
64706,9.524
65131,9.057
65542,4.961
65938,9.321
66357,9.367
66736,8.709
67127,8.15
67513,8.717
67933,8.685
68318,9.036
68728,10.321
69125,7.023
69471,6.334
69901,7.529
70312,7.095
70731,8.779
71166,8.24
71572,7.414
72005,9.281
72407,8.889
72822,7.021
73254,6.578
73685,11.897
74098,8.256
74432,11.809
74827,10.488
75193,9.935
75572,8.739
76035,7.861
76379,9.684
76810,10.722
77257,12.315
77675,9.536
78045,6.115
78454,9.687
78900,6.603
79320,8.001
79758,5.605
80135,9.712
80488,6.175
80880,8.016
81309,8.398
81729,9.484
82128,9.366
82549,6.466
82972,8.91
83362,8.145
83773,8.476
84233,10.003
84673,8.96
85034,9.352
85431,10.477
85861,10.27
86305,10.047
86670,9.83
87081,11.495
87532,6.491
87931,8.094
88342,5.59
88743,8.469
89139,10.851
89561,9.0
89937,6.814
90369,10.235
90762,7.779
91155,10.087
91528,9.411
91940,8.784
92405,6.254
92851,8.906
93252,8.87
93647,10.738
94054,11.839
94506,9.671
94914,10.091
95321,9.302
95709,6.004
96128,8.861
96582,6.461
96970,5.854
97320,10.049
97733,7.64
98129,7.236
98510,8.757
98890,9.545
99350,10.68
99773,7.478
100152,12.326
100523,7.719
100962,7.649
101352,9.196
101743,7.123
102129,8.217
102558,8.554
102981,5.859
103367,8.882
103791,6.645
104191,5.525
104582,9.712
104989,5.928
105382,9.072
105825,6.304
106194,8.651
106597,3.195
107002,4.488
107419,6.45
107812,6.788
108215,9.063
108629,8.523
109057,6.84
109456,8.52
109854,7.281
